Team,PD,FGM,RushYPerG,Turnover_Perc,PAllowedPerG,Playoffs,PAllowedPerG_remove,RushYPerG_remove
New England Patriots,-130,16,95.70588235,14.3,21.52941176,0,366,1627
Buffalo Bills,140,24,130.1176471,14.9,18.29411765,1,311,2212
New York Jets,-87,36,96.88235294,13.9,20.88235294,0,355,1647
Miami Dolphins,105,24,135.7647059,13.4,23,1,391,2308
Pittsburgh Steelers,-20,29,118.2352941,7.7,19.05882353,1,324,2010
Baltimore Ravens,203,32,156.5294118,9.6,16.47058824,1,280,2661
Cleveland Browns,34,34,118.6470588,16.2,21.29411765,1,362,2017
Cincinnati Bengals,-18,26,89.82352941,8.5,22.58823529,0,384,1527
Indianapolis Colts,-19,33,121.1176471,9.2,24.41176471,0,415,2059
Houston Texans,24,34,96.88235294,7.3,20.76470588,1,353,1647
Jacksonville Jaguars,6,30,96.82352941,14.9,21.82352941,0,371,1646
Tennessee Titans,-62,29,108.5882353,9.4,21.58823529,0,367,1846
Kansas City Chiefs,77,33,104.9411765,14.6,17.29411765,1,294,1784
Las Vegas Raiders,1,26,90.70588235,13.4,19.47058824,0,331,1542
Los Angeles Chargers,-52,31,96.58823529,10.5,23.41176471,0,398,1642
Denver Broncos,-56,30,106.4705882,10.6,24.29411765,0,413,1810
Minnesota Vikings,-18,24,91.35294118,18.4,21.29411765,0,362,1553
Green Bay Packers,33,27,112.0588235,9.2,20.58823529,1,350,1905
Chicago Bears,-19,35,141.1176471,13,22.29411765,0,379,2399
Detroit Lions,66,19,135.9411765,11.8,23.23529412,1,395,2311
Dallas Cowboys,194,36,112.9411765,8.9,18.52941176,1,315,1920
Philadelphia Eagles,5,30,128.8235294,15.3,25.17647059,1,428,2190
Washington Commanders,-189,19,93.64705882,15.2,30.47058824,0,518,1592
New York Giants,-141,22,110.2352941,8.5,23.94117647,0,407,1874
Atlanta Falcons,-52,32,127,14.3,21.94117647,0,373,2159
New Orleans Saints,75,30,102.4705882,8.2,19.23529412,0,327,1742
Tampa Bay Buccaneers,23,29,88.76470588,9.8,19.11764706,1,325,1509
Carolina Panthers,-180,25,104.0588235,11.1,24.47058824,0,416,1769
San Francisco 49ers,193,21,140.5294118,10.1,17.52941176,1,298,2389
Los Angeles Rams,27,32,120.2941176,9.2,22.17647059,1,377,2045
Seattle Seahawks,-38,35,92.94117647,8.4,23.64705882,0,402,1580
Arizona Cardinals,-125,28,139.1176471,9.4,26.76470588,0,455,2365